title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
Modern Times,1936,27977,1323,0,8.5,258708.0,87,Comedy,Drama,Romance
Mr. Deeds Goes to Town,1936,27996,1992,3,7.8,23138.0,115,Comedy,Drama,Romance
Murder at Glen Athol,1936,28000,6174,3,5.9,299.0,67,Crime,Mystery,Romance
My Man Godfrey,1936,28010,5852,2,7.9,26375.0,94,Comedy,Drama,Romance
"Only Son, The",1936,27752,3560,3,7.7,4020.0,87,Drama,,
Osaka Elegy,1936,28021,2853,3,7.2,2590.0,71,Comedy,Drama,
Pennies from Heaven,1936,28092,4010,3,6.5,793.0,81,Comedy,Drama,Music
"Petrified Forest, The",1936,28096,1369,3,7.5,14867.0,82,Drama,Thriller,
Revolt of the Zombies,1936,28174,2554,0,3.4,1875.0,65,Adventure,Horror,
Romeo and Juliet,1936,28203,4069,3,6.5,2219.0,125,Drama,Romance,
Sabotage,1936,28212,5926,3,7.0,18647.0,76,Crime,Thriller,
San Francisco,1936,28216,1359,1,7.2,6086.0,115,Drama,Music,Romance
Secret Agent,1936,28231,7308,3,6.4,9014.0,86,Mystery,Thriller,
Swing Time,1936,28333,596,1,7.5,14553.0,103,Comedy,Musical,Romance
Theodora Goes Wild,1936,28355,3280,3,7.1,2941.0,94,Comedy,Mystery,Romance
These Three,1936,28356,7227,2,7.4,3020.0,93,Drama,Romance,
Wife vs. Secretary,1936,28505,1360,2,7.0,3857.0,88,Comedy,Drama,Romance
A Day at the Races,1937,28772,2382,2,7.5,14553.0,111,Comedy,Family,Musical
"Awful Truth, The",1937,28597,6554,3,7.7,21291.0,90,Comedy,Romance,
"Bizarre, Bizarre",1937,27552,8473,3,7.4,1954.0,94,Comedy,,
Captains Courageous,1937,28691,10838,0,7.9,10887.0,117,Adventure,Drama,Family
Conquest,1937,28739,1332,2,6.5,1674.0,113,Drama,History,Mystery
"Girl Was Young, The",1937,29811,7317,3,6.8,10817.0,80,Crime,Mystery,Romance
Knight Without Armor,1937,29087,1244,2,6.7,1458.0,107,Adventure,Drama,History
"Life of Emile Zola, The",1937,29146,8478,1,7.2,8985.0,116,Biography,Drama,
Lost Horizon,1937,29162,1336,2,7.6,14415.0,132,Adventure,Drama,Fantasy
Make Way for Tomorrow,1937,29192,4255,3,8.2,9471.0,91,Drama,Romance,
Marked Woman,1937,29217,7877,3,7.1,4818.0,96,Crime,Film-Noir,Thriller
Murder at the Baskervilles (Silver Blaze),1937,29565,5617,1,5.7,782.0,71,Crime,Mystery,
Nothing Sacred,1937,29322,3968,0,6.9,7239.0,77,Comedy,Drama,Fantasy
Parnell,1937,29377,1358,2,5.4,563.0,118,Biography,Drama,Romance
Pepe le Moko,1937,29453,5740,2,7.7,8051.0,94,Crime,Drama,Romance
"Prisoner of Zenda, The",1937,29442,1240,1,7.6,5058.0,101,Adventure,Drama,Romance
Shall We Dance,1937,29546,597,1,7.4,7839.0,109,Comedy,Musical,Romance
Snow White and the Seven Dwarfs,1937,29583,1976,3,7.6,214835.0,83,Adventure,Animation,Family
Stage Door,1937,29604,631,3,7.7,8988.0,92,Comedy,Drama,Romance
Stella Dallas,1937,29608,795,3,7.4,6261.0,106,Drama,Romance,
Topper,1937,29682,1335,2,7.2,8300.0,97,Comedy,Fantasy,Romance
Wee Willie Winkie,1937,29751,10352,3,6.9,1932.0,100,Adventure,Family,
"Adventures of Robin Hood, The",1938,29843,3103,2,7.9,54355.0,102,Action,Adventure,Romance
Angels with Dirty Faces,1938,29870,7290,1,7.9,23151.0,97,Crime,Drama,Film-Noir
"Baker&#39;s Wife, The",1938,30127,6042,1,7.5,2365.0,133,Comedy,Drama,
Bluebeard&#39;s Eighth Wife,1938,29929,3283,2,7.2,4525.0,85,Comedy,Romance,
Boys Town,1938,29942,2467,0,7.2,6330.0,96,Biography,Drama,Family
Bringing Up Baby,1938,29947,3400,3,7.8,65920.0,102,Comedy,,
Carefree,1938,29971,594,2,7.0,4309.0,83,Comedy,Musical,Romance
"Dawn Patrol, The",1938,30044,1238,0,7.5,3412.0,103,Drama,War,
Four Daughters,1938,30149,3951,3,6.9,2215.0,90,Drama,Music,Romance
Holiday,1938,30241,994,3,7.7,18168.0,95,Comedy,Romance,
Jezebel,1938,30287,1367,2,7.4,14999.0,104,Drama,Romance,
"Lady Vanishes, The",1938,30341,620,3,7.7,56991.0,96,Mystery,Thriller,
"Mad Miss Manton, The",1938,30396,4495,3,6.7,2787.0,80,Comedy,Mystery,
"Mr. Wong, Detective",1938,30473,2590,1,6.0,1217.0,69,Adventure,Crime,Drama
"Sisters, The",1938,30755,1378,2,6.7,2126.0,99,Drama,,
"Adventures of Sherlock Holmes, The",1939,31022,5863,3,7.3,7442.0,85,Crime,Mystery,Thriller
At the Circus,1939,31060,2372,2,6.8,6453.0,87,Comedy,Musical,
